Models,,Accuracy1,Accuracy with 70% best features,,Accuracy1,Accuracy with 70% best features
LogisticRegressionCV,Training,0.9252304382499675,0.9234314434614885,Test,0.9046887508925288,0.9051431291516109
MLPClassifier,Training,0.998034088169291,0.9978022589439716,Test,0.9000367830019257,0.8999935088820131
PassiveAggressiveClassifier,Training,0.9210296926871789,0.915753259518908,Test,0.8967912240084818,0.8953199039314538
MultinomialNB,Training,0.9011572914927948,0.8987926333945363,Test,0.892896553216349,0.8907112101607634
RandomForestClassifier,Training,0.988992748381832,0.9887052801424359,Test,0.8906895731008071,0.8870978211480623
ExtraTreesClassifier,Training,0.9980990003523804,0.9980711808453421,Test,0.8896077201029924,0.8890018824242162
AdaBoostClassifier,Training,0.8851425286077264,0.8851425286077264,Test,0.8848259298526516,0.8848259298526516
DecisionTreeClassifier,Training,0.9980990003523804,0.9980711808453421,Test,0.8794383019235347,0.8791570201441028
GradientBoostingClassifier,Training,0.8791706077634971,0.8790129638902798,Test,0.8769716770885172,0.8769716770885172
SVC,Training,0.8438212874867858,0.8438212874867858,Test,0.8439318865352576,0.8439318865352576
ComplementNB,Training,0.8194699456592296,0.8207589161520058,Test,0.8114762966008179,0.8146136702944804
